uri,hydrosource_id,eha_ptid,fcdocket,hilarriid,nididfull,nidid,dam_name,longitude,latitude,state,state_uri,huc,huc_uri,Pt_Own,OwType,Type,CH_MW,status,HILARRI_2021,EHA_FY2021,EHA_Annual_Capacity,EHA_Annual_CapacityFactor,EHA_Annual_Gross_Generation,ORNL_Retired_FY2020_revised,ORNL_US_Hydropower_DevelopmentPipeline_Data_FY2021,ORNL_CostofMitigatingEnvironmentalImpacts_FY2021,ORNL_Mitigation_Database,EHA_Annual_Net_Generation
https://geoconnex.us/ornl/hydrosource/dams/1911,1911,hc7117_p01,P-5334,1005,MI00194,MI00194,FORD LAKE,-83.5667,42.2,MI,https://geoconnex.us/ref/states/26,40900050403,https://geoconnex.us/nhdplusv2/huc12/40900050403,Charter Township of Ypsilanti,Publicly Owned Utility,HY,2.4,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,https://hydrosource.ornl.gov/dataset/us-hydropower-mitigation-database,
https://geoconnex.us/ornl/hydrosource/dams/1912,1912,hc7118_p01,P-5379,273,NH00020,NH00020,HADLEY FALLS,-71.5979,43.0185,NH,https://geoconnex.us/ref/states/33,10700060607,https://geoconnex.us/nhdplusv2/huc12/10700060607,New Hampshire Dept of Environmental,State,HY,0.25,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1913,1913,hc7119_p01,P-5388,2670,CA00867,CA00867,JACKSON CREEK,-120.8888,38.3037,CA,https://geoconnex.us/ref/states/6,1.80E+11,https://geoconnex.us/nhdplusv2/huc12/180000000000,Jackson Valley Irrigation District,Publicly Owned Utility,HY,0.5,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1914,1914,hc7120_p01,P-5390,2183,,,,-117.74857,45.283206,OR,https://geoconnex.us/ref/states/41,1.71E+11,https://geoconnex.us/nhdplusv2/huc12/171000000000,City of Cove,Publicly Owned Utility,HY,0.8,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1915,1915,hc7121_p01,P-5497,2413,,,,-123.7215,48.0725,WA,https://geoconnex.us/ref/states/53,1.71E+11,https://geoconnex.us/nhdplusv2/huc12/171000000000,A H Haley,Private Non-utility,HY,0.075,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1916,1916,hc7122_p01,P-5563,305,NH83018,NH83018,HATFIELDS,-70.9783,43.3042,NH,https://geoconnex.us/ref/states/33,10600030603,https://geoconnex.us/nhdplusv2/huc12/10600030603,Woodsville/Rochester Hydro Associates,Private Non-utility,HY,0.184,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1917,1917,hc7123_p01,P-5586,596,,,,-74.1865,41.6052,NY,https://geoconnex.us/ref/states/36,20200070405,https://geoconnex.us/nhdplusv2/huc12/20200070405,"Natural Power Group, Inc.",Private Non-utility,HY,0.512,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1918,1918,hc7124_p01,P-5593,2653,CA00143,CA00143,FLEMING HILL NO. 2,-122.2427,38.1374,CA,https://geoconnex.us/ref/states/6,1.81E+11,https://geoconnex.us/nhdplusv2/huc12/181000000000,City of Vallejo,Publicly Owned Utility,HY,0.3,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1919,1919,hc7125_p01,P-5597,588,,,,-73.6436,42.7287,NY,https://geoconnex.us/ref/states/36,20200060104,https://geoconnex.us/nhdplusv2/huc12/20200060104,Stevens Family,Private Non-utility,HY,0.03,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1920,1920,hc7126_p01,P-5613,119,ME00156,ME00156,BROWNS MILL,-69.21912,45.183577,ME,https://geoconnex.us/ref/states/23,10200040205,https://geoconnex.us/nhdplusv2/huc12/10200040205,Ridgewood Maine Hydro Partners LP,Private Non-utility,HY,0.594,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
https://geoconnex.us/ornl/hydrosource/dams/1921,1921,hc7127_p01,P-5637,2136,,,,-113.294,44.2043,ID,https://geoconnex.us/ref/states/16,1.70E+11,https://geoconnex.us/nhdplusv2/huc12/170000000000,"Pancheri, Inc.",Private Non-utility,HY,0.16,Active,https://hydrosource.ornl.gov/dataset/hydropower-infrastructure-lakes-reservoirs-and-rivers-HILARRI,https://hydrosource.ornl.gov/dataset/EHA2021,,,,,,,,
